column,status,n_mismatch,horizon,unmatched_keys,skipped_invalid_phase_ref_rows
Tair_f_tavg_mean__roll12_std_asof12,ok,0,12,0,0
Tair_f_tavg_mean__roll12_min_asof12,ok,0,12,0,0
Tair_f_tavg_mean__roll12_max_asof12,ok,0,12,0,0
Tair_f_tavg_mean__roll12_iqr_asof12,ok,0,12,0,0
EVI_mean__roll12_std_asof12,ok,0,12,0,0
EVI_mean__roll12_min_asof12,ok,0,12,0,0
EVI_mean__roll12_max_asof12,ok,0,12,0,0
EVI_mean__roll12_iqr_asof12,ok,0,12,0,0
GPP_mean__roll12_std_asof12,ok,0,12,0,0
GPP_mean__roll12_min_asof12,ok,0,12,0,0
GPP_mean__roll12_max_asof12,ok,0,12,0,0
GPP_mean__roll12_iqr_asof12,ok,0,12,0,0
event_count_violence__roll12_std_asof12,ok,0,12,0,0
event_count_violence__roll12_min_asof12,ok,0,12,0,0
event_count_violence__roll12_max_asof12,ok,0,12,0,0
event_count_violence__roll12_iqr_asof12,ok,0,12,0,0
FAO_price__roll12_std_asof12,ok,0,12,0,0
FAO_price__roll12_min_asof12,ok,0,12,0,0
FAO_price__roll12_max_asof12,ok,0,12,0,0
FAO_price__roll12_iqr_asof12,ok,0,12,0,0
WFP_Price__roll12_std_asof12,ok,0,12,0,0
WFP_Price__roll12_min_asof12,ok,0,12,0,0
WFP_Price__roll12_max_asof12,ok,0,12,0,0
WFP_Price__roll12_iqr_asof12,ok,0,12,0,0
food_inflation_wb__roll12_std_asof12,ok,0,12,0,0
food_inflation_wb__roll12_min_asof12,ok,0,12,0,0
food_inflation_wb__roll12_max_asof12,ok,0,12,0,0
food_inflation_wb__roll12_iqr_asof12,ok,0,12,0,0
nino34_anom__roll12_std_asof12,ok,0,12,0,0
nino34_anom__roll12_min_asof12,ok,0,12,0,0
nino34_anom__roll12_max_asof12,ok,0,12,0,0
nino34_anom__roll12_iqr_asof12,ok,0,12,0,0
Rainf_f_tavg_mean__deficit_stress__share12_asof12,ok,0,12,0,0
Rainf_f_tavg_mean__deficit_stress__months_since_asof12,ok,0,12,0,0
Rainf_f_tavg_mean__deficit_stress__longest_run12_asof12,ok,0,12,0,0
Rainf_f_tavg_mean__deficit_stress__any12_asof12,ok,0,12,0,0
Tair_f_tavg_mean__hot_stress__share12_asof12,ok,0,12,0,0
Tair_f_tavg_mean__hot_stress__months_since_asof12,ok,0,12,0,0
Tair_f_tavg_mean__hot_stress__longest_run12_asof12,ok,0,12,0,0
Tair_f_tavg_mean__hot_stress__any12_asof12,ok,0,12,0,0
EVI_mean__vegetation_stress__share12_asof12,ok,0,12,0,0
EVI_mean__vegetation_stress__months_since_asof12,ok,0,12,0,0
EVI_mean__vegetation_stress__longest_run12_asof12,ok,0,12,0,0
EVI_mean__vegetation_stress__any12_asof12,ok,0,12,0,0
GPP_mean__vegetation_stress__share12_asof12,ok,0,12,0,0
GPP_mean__vegetation_stress__months_since_asof12,ok,0,12,0,0
GPP_mean__vegetation_stress__longest_run12_asof12,ok,0,12,0,0
GPP_mean__vegetation_stress__any12_asof12,ok,0,12,0,0
event_count_violence__nonzero_stress__share12_asof12,ok,0,12,0,0
event_count_violence__nonzero_stress__months_since_asof12,ok,0,12,0,0
event_count_violence__nonzero_stress__longest_run12_asof12,ok,0,12,0,0
event_count_violence__nonzero_stress__any12_asof12,ok,0,12,0,0
FAO_price__price_shock_stress__share12_asof12,ok,0,12,0,0
FAO_price__price_shock_stress__months_since_asof12,ok,0,12,0,0
FAO_price__price_shock_stress__longest_run12_asof12,ok,0,12,0,0
FAO_price__price_shock_stress__any12_asof12,ok,0,12,0,0
WFP_Price__price_shock_stress__share12_asof12,ok,0,12,0,0
WFP_Price__price_shock_stress__months_since_asof12,ok,0,12,0,0
WFP_Price__price_shock_stress__longest_run12_asof12,ok,0,12,0,0
WFP_Price__price_shock_stress__any12_asof12,ok,0,12,0,0
food_inflation_wb__price_shock_stress__share12_asof12,ok,0,12,0,0
food_inflation_wb__price_shock_stress__months_since_asof12,ok,0,12,0,0
food_inflation_wb__price_shock_stress__longest_run12_asof12,ok,0,12,0,0
food_inflation_wb__price_shock_stress__any12_asof12,ok,0,12,0,0
nino34_anom__enso_stress__share12_asof12,ok,0,12,0,0
nino34_anom__enso_stress__months_since_asof12,ok,0,12,0,0
nino34_anom__enso_stress__longest_run12_asof12,ok,0,12,0,0
nino34_anom__enso_stress__any12_asof12,ok,0,12,0,0
Rainf_f_tavg_mean__hist_same_month_anom_l12,ok,0,12,0,0
Rainf_f_tavg_mean__hist_same_month_pctnormal_l12,ok,0,12,0,0
Rainf_f_tavg_mean__hist_same_month_z_l12,ok,0,12,0,0
Rainf_f_tavg_mean__hist_same_month_pctile_l12,ok,0,12,0,0
Tair_f_tavg_mean__hist_same_month_anom_l12,ok,0,12,0,0
Tair_f_tavg_mean__hist_same_month_pctnormal_l12,ok,0,12,0,0
Tair_f_tavg_mean__hist_same_month_z_l12,ok,0,12,0,0
Tair_f_tavg_mean__hist_same_month_pctile_l12,ok,0,12,0,0
SoilMoi00_10cm_tavg_mean__hist_same_month_anom_l12,ok,0,12,0,0
SoilMoi00_10cm_tavg_mean__hist_same_month_pctnormal_l12,ok,0,12,0,0
SoilMoi00_10cm_tavg_mean__hist_same_month_z_l12,ok,0,12,0,0
SoilMoi00_10cm_tavg_mean__hist_same_month_pctile_l12,ok,0,12,0,0
EVI_mean__hist_same_month_anom_l12,ok,0,12,0,0
EVI_mean__hist_same_month_pctnormal_l12,ok,0,12,0,0
EVI_mean__hist_same_month_z_l12,ok,0,12,0,0
EVI_mean__hist_same_month_pctile_l12,ok,0,12,0,0
GPP_mean__hist_same_month_anom_l12,ok,0,12,0,0
GPP_mean__hist_same_month_pctnormal_l12,ok,0,12,0,0
GPP_mean__hist_same_month_z_l12,ok,0,12,0,0
GPP_mean__hist_same_month_pctile_l12,ok,0,12,0,0
nightlight_mean__hist_same_month_anom_l12,ok,0,12,0,0
nightlight_mean__hist_same_month_pctnormal_l12,ok,0,12,0,0
nightlight_mean__hist_same_month_z_l12,ok,0,12,0,0
nightlight_mean__hist_same_month_pctile_l12,ok,0,12,0,0
FAO_price__hist_same_month_anom_l12,ok,0,12,0,0
FAO_price__hist_same_month_pctnormal_l12,ok,0,12,0,0
FAO_price__hist_same_month_z_l12,ok,0,12,0,0
FAO_price__hist_same_month_pctile_l12,ok,0,12,0,0
WFP_Price__hist_same_month_anom_l12,ok,0,12,0,0
WFP_Price__hist_same_month_pctnormal_l12,ok,0,12,0,0
WFP_Price__hist_same_month_z_l12,ok,0,12,0,0
WFP_Price__hist_same_month_pctile_l12,ok,0,12,0,0
food_price_index_WB__hist_same_month_anom_l12,ok,0,12,0,0
food_price_index_WB__hist_same_month_pctnormal_l12,ok,0,12,0,0
food_price_index_WB__hist_same_month_z_l12,ok,0,12,0,0
food_price_index_WB__hist_same_month_pctile_l12,ok,0,12,0,0
nino34_anom__hist_same_month_anom_l12,ok,0,12,0,0
nino34_anom__hist_same_month_pctnormal_l12,ok,0,12,0,0
nino34_anom__hist_same_month_z_l12,ok,0,12,0,0
nino34_anom__hist_same_month_pctile_l12,ok,0,12,0,0
Rainf_f_tavg_mean__deficit_stress__share12_asof12__x__EVI_mean__vegetation_stress__share12_asof12,ok,0,12,0,0
nino34_anom__enso_stress__share12_asof12__x__Rainf_f_tavg_mean__deficit_stress__share12_asof12,ok,0,12,0,0
Rainf_f_tavg_mean__deficit_stress__share12_asof12__x__popdensity,ok,0,12,0,0
Rainf_f_tavg_mean__deficit_stress__share12_asof12__x__market_access,ok,0,12,0,0
event_count_violence__nonzero_stress__share12_asof12__x__popdensity,ok,0,12,0,0
event_count_violence__nonzero_stress__share12_asof12__x__market_access,ok,0,12,0,0
neighbor3_mean__event_count_violence__nonzero_stress__share12_asof12,ok,0,12,0,0
neighbor3_mean__Rainf_f_tavg_mean__deficit_stress__share12_asof12,ok,0,12,0,0
